,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost
445,27,Male,Prague,Software Engineer,3.0,0.0,Middle,.NET,"Javascript / Typescript, Java / Scala, SQL",21120.0,21.0,full-time,Temporary contract,Czech,11-50,Product,No
446,34,Female,Berlin,QA Engineer,6.0,2.0,Senior,Ruby,"Ruby, Java / Scala, AWS, Kubernetes, Docker",67500.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
447,30,Male,Utrecht,Data Scientist,2.0,0.0,Middle,python,Google Cloud,48000.0,25.0,full-time,Temporary contract,English,1000+,Product,No
448,27,Female,Munich,Frontend Developer,2.0,2.0,Middle,JavaScript,Javascript / Typescript,64000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
449,46,Male,Frankfurt,Software Engineer,23.0,16.0,Senior,C#,"C/C++, Javascript / Typescript, .NET, SQL, Azure",90000.0,30.0,full-time,Unlimited contract,German,1000+,Consulting / Agency,No
450,48,Male,Berlin,Senior Network&Security Eng.,21.0,17.0,Senior,"Computer Networking,  Network Security ",SQL,68500.0,26.0,full-time,Unlimited contract,English,1000+,Startup,No
452,40,Female,Berlin,Fullstack Developer,8.0,8.0,Senior,C#,"PHP, Javascript / Typescript, .NET, SQL, Azure, Kubernetes, Docker, React, Angular2+",57000.0,26.0,full-time,Unlimited contract,German,51-100,Product,No
453,23,Male,Stockholm,Frontend Developer,5.0,1.5,Senior,Javascript,Javascript / Typescript,45600.0,30.0,full-time,Unlimited contract,English,up to 10,Consulting / Agency,No
454,33,Male,Berlin,Software Engineer,9.223958333333334,10.0,Senior,Java,"Java / Scala, Google Cloud, Kubernetes, Docker",90000.0,25.0,full-time,Unlimited contract,English,1000+,Product,No
456,40,Male,Braunschweig ,SAP BW Senior Consultant ,11.0,11.0,Senior,SAP BW / ABAP,SAP / ABAP,75000.0,30.0,full-time,Unlimited contract,German,1000+,Financial ,No
457,38,Male,Dresden,Software Engineer,10.0,10.0,Lead,"Go, PHP, SQL","PHP, SQL, Go, AWS, Docker",62000.0,30.0,full-time,Unlimited contract,German,51-100,Product,No
458,28,Male,Kyiv,Mobile Developer,5.0,0.0,Senior,Swift,"Swift, Google Cloud",45000.0,20.0,full-time,Unlimited contract,English,11-50,Product,No
459,38,Male,Berlin,Software Engineer,16.0,2.0,Senior,ABAP,"PHP, SQL, SAP / ABAP, Delphi",83000.0,27.0,full-time,Unlimited contract,English,1000+,Startup,No
460,32,Male,Hamburg,Software Engineer,12.0,7.0,Senior,Java,"Kotlin, PHP, Javascript / Typescript, Java / Scala",66300.0,28.0,full-time,Unlimited contract,German,101-1000,Product,No
461,33,Female,Berlin,Software Engineer,6.0,3.0,Middle,java,"SQL, AWS, Kubernetes, Docker",65000.0,28.0,full-time,Unlimited contract,English,1000+,Startup,No
462,34,Male,Berlin,Software Engineer,13.0,4.0,Lead,Kotlin ,"Python, Kotlin, C/C++, Java / Scala",85000.0,32.0,full-time,Unlimited contract,English,1000+,Product,No
464,37,Male,Stuttgart ,Software Engineer,9.0,5.0,Senior,Qml,C/C++,60000.0,30.0,full-time,Unlimited contract,English,101-1000,Consulting / Agency,No
466,33,Male,Berlin,Director of Engineering,10.0,5.0,Director,PHP,"PHP, Javascript / Typescript, Java / Scala, SQL, AWS, Docker",100000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
467,36,Male,Munich,IT Spezialist,15.0,6.0,Senior,AWS,"Javascript / Typescript, Java / Scala, AWS, Docker",79300.0,30.0,full-time,Unlimited contract,German,1000+,Product,No
469,27,Male,Frankfurt,Software Engineer,5.0,3.0,Middle,C#/.NET,"C/C++, SQL, VBA",48000.0,28.0,full-time,Unlimited contract,English,up to 10,Consulting / Agency,No
470,28,Male,Berlin,Software Engineer,6.0,2.0,Middle,PHP,"Javascript / Typescript, SQL, Go, Docker",60000.0,26.0,full-time,Unlimited contract,English,101-1000,E-commerce,No
471,23,Male,Warsaw,Software Engineer,4.0,0.0,Middle,PHP,"Javascript / Typescript, SQL, Docker",34000.0,28.0,full-time,Temporary contract,English,up to 10,Product,No
